Major,Major Category,Early Career Pay,Mid-Career Pay
Accounting,Business,46000,77100
Aerospace Engineering,Engineering and Technology,57700,101000
Agriculture,Science and Math,42600,71900
Anthropology,"Literature, Language, and Social Science",36800,61500
Architecture,Visual and Performing Arts,41600,76800
Art History,Visual and Performing Arts,35800,64900
Biology,Science and Math,38800,64800
Business Management,Business,43000,72100
Chemical Engineering,Engineering and Technology,63200,107000
Chemistry,Science and Math,42600,79900
Civil Engineering,Engineering and Technology,53900,90500
Communications,"Literature, Language, and Social Science",38100,70000
Computer Engineering,Engineering and Technology,61400,105000
Computer Science,Engineering and Technology,55900,95500
Construction,Business,53700,88900
Criminal Justice,"Literature, Language, and Social Science",35000,56300
Drama,Visual and Performing Arts,35900,56900
Economics,"Literature, Language, and Social Science",50100,98600
Education,"Literature, Language, and Social Science",34900,52000
Electrical Engineering,Engineering and Technology,60900,103000
English,"Literature, Language, and Social Science",38000,64700
Film,Visual and Performing Arts,37900,68500
Finance,Business,47900,88300
Forestry,Environment,39100,62600
Geography,"Literature, Language, and Social Science",41200,65500
Geology,Environment,43500,79500
Graphic Design,Visual and Performing Arts,35700,59800
Health Care Administration,Business,38800,60600
History,"Literature, Language, and Social Science",39200,71000
Hospitality & Tourism,Business,37800,57500
Industrial Engineering,Engineering and Technology,57700,94700
Information Technology (IT),Engineering and Technology,49100,74800
Interior Design,Visual and Performing Arts,36100,53200
International Relations,"Literature, Language, and Social Science",40900,80900
Journalism,"Literature, Language, and Social Science",35600,66700
Management Information Systems (MIS),Business,49200,82300
Marketing,Business,40800,79600
Math,Science and Math,45400,92400
Mechanical Engineering,Business,57900,93600
Music,Visual and Performing Arts,35900,55000
Nursing,Science and Math,54200,67000
Nutrition,Science and Math,39900,55300
Philosophy,"Literature, Language, and Social Science",39900,81200
Physician Assistant,Science and Math,74300,91700
Physics,Science and Math,50300,97300
Political Science,"Literature, Language, and Social Science",40800,78200
Psychology,Science and Math,35900,60400
Religion,"Literature, Language, and Social Science",34100,52000
Sociology,"Literature, Language, and Social Science",36500,58200
Spanish,"Literature, Language, and Social Science",34000,53100
