School,Engineering,Private,Early Career Pay,Mid-Career Pay,Percent High Meaning
Adelphi University,False,True,53700,96400,0.5
Albany College of Pharmacy and Health Sciences,False,True,81000,144800,0.82
Albion College,False,True,52100,99300,0.44
American University,False,True,55700,102900,0.45
Amherst College,False,True,63800,116500,0.45
Arizona State University-Tempe,False,False,54500,100900,0.52
Art Center College of Design,False,True,63200,106100,0.42
Auburn University,False,False,54400,104500,0.51
Babson College,False,True,72000,133800,0.37
Barnard College,False,True,59200,109800,0.57
Bates College,False,True,59500,111900,0.5
Baylor University,False,True,55500,101400,0.49
Bellin College,False,True,55800,97600,0.94
Bentley University,False,True,66600,116600,0.36
Binghamton University,False,False,61300,109600,0.44
Boston College,False,True,63600,115400,0.43
Boston University,False,True,61400,113600,0.43
Bowdoin College,False,True,61300,112000,0.54
Bradley University,False,True,55600,104900,0.46
Brandeis University,False,True,60600,113200,0.48
Brigham Young University-Provo,False,True,59200,108000,0.6
Brown University,False,True,68200,127600,0.45
Bryant University,False,True,60500,108600,0.37
Bucknell University,False,True,66700,122900,0.4
Butler University,False,True,51800,99300,0.53
CUNY Bernard M Baruch College,False,False,58800,107100,0.37
CUNY Brooklyn College,False,False,51300,97800,0.44
CUNY City College,False,False,53500,99100,0.57
CUNY Queens College,False,False,52400,96700,0.47
California College of the Arts,False,True,58900,103300,0.48
California Institute of Technology,True,True,84100,151600,0.53
California Polytechnic State University-San Luis Obispo,False,False,65600,119500,0.51
California State Polytechnic University-Pomona,False,False,57700,110800,0.5
California State University Maritime Academy,False,False,70500,129600,0.57
California State University-Chico,False,False,56900,105100,0.51
California State University-East Bay,False,False,56600,103500,0.52
California State University-Fresno,False,False,51100,97300,0.57
California State University-Fullerton,False,False,51200,98400,0.48
California State University-Long Beach,False,False,52700,101700,0.49
California State University-Northridge,False,False,51200,97300,0.51
California State University-Sacramento,False,False,54400,101100,0.53
Capitol Technology University,True,True,67400,118400,0.63
Carleton College,False,True,58800,109900,0.47
Carnegie Mellon University,True,True,75900,136100,0.45
Case Western Reserve University,False,True,66600,117800,0.44
Catholic University of America,False,True,57300,105100,0.56
Chapman University,False,True,53700,99400,0.46
Charles R Drew University of Medicine and Science,False,True,78300,135700,
Christian Brothers University,False,True,51500,96500,0.6
Citadel Military College of South Carolina,False,False,60400,108100,0.62
Claremont McKenna College,False,True,68500,125400,0.43
Clark University,False,True,52600,101400,0.47
Clarkson University,True,True,66400,130100,0.58
Clemson University,False,False,57500,106700,0.5
Colby College,False,True,59200,103300,0.5
Coleman University,True,True,59400,103500,0.48
Colgate University,False,True,68400,130600,0.41
College of William and Mary,False,False,59000,108900,0.42
College of the Holy Cross,False,True,61800,114600,0.46
Colorado College,False,True,53100,97900,0.48
Colorado School of Mines,True,False,75600,139600,0.6
Colorado State University-Fort Collins,False,False,53500,96100,0.51
Columbia University in the City of New York,False,True,71400,126800,0.45
Connecticut College,False,True,57500,100800,0.36
Cooper Union for the Advancement of Science and Art,True,True,68500,126200,0.46
Cornell University,False,True,70100,128200,0.45
Dartmouth College,False,True,71500,130900,0.44
Davidson College,False,True,57300,106900,0.5
DePaul University,False,True,55700,102900,0.43
DePauw University,False,True,56600,101000,0.47
Denison University,False,True,54400,104800,0.45
Dickinson College,False,True,55800,100100,0.46
Dominican University of California,False,True,55300,95900,0.65
Drake University,False,True,52800,99900,0.49
Drexel University,False,True,61700,114800,0.47
Duke University,False,True,71100,132100,0.5
Dunwoody College of Technology,False,True,53400,96600,0.55
Duquesne University,False,True,52600,96100,0.51
Embry-Riddle Aeronautical University-Daytona Beach,False,True,63300,111200,0.58
Embry-Riddle Aeronautical University-Prescott,False,True,65600,117900,0.59
Embry-Riddle Aeronautical University-Worldwide,False,True,55800,96800,0.67
Emory University,False,True,62000,110800,0.44
Excelsior College,False,True,54900,98200,0.67
Fairfield University,False,True,62300,116900,0.41
Fairleigh Dickinson University-Florham Campus,False,True,53700,98500,0.42
Fairleigh Dickinson University-Florham Campus,False,True,53700,98500,0.42
Fashion Institute of Technology,False,False,54200,100500,0.28
Felician University,False,True,53200,98200,0.51
Florida Institute of Technology,False,True,58300,105400,0.53
Fordham University,False,True,58700,112500,0.38
Franklin and Marshall College,False,True,57200,109700,0.42
Furman,False,True,52100,98800,0.48
George Mason University,False,False,58900,105700,0.48
George Washington University,False,True,61400,115300,0.47
Georgetown University,False,True,66400,122200,0.42
Georgia Institute of Technology-Main Campus,True,False,72700,133400,0.48
Gettysburg College,False,True,58400,109300,0.39
Golden Gate University-San Francisco,False,True,59200,109800,0.49
Gonzaga University,False,True,57800,107600,0.51
Grinnell College,False,True,53400,96500,0.49
Grove City College,False,True,54400,98400,0.53
Gustavus Adolphus College,False,True,51200,96800,0.47
Hamilton College,False,True,62600,108100,0.45
Hampden-Sydney College,False,True,58300,108600,0.52
Hartwick College,False,True,53100,99200,0.59
Harvard University,False,True,74800,146800,0.54
Harvey Mudd College,True,True,88800,158200,0.55
Haverford College,False,True,59300,112300,0.47
Hobart William Smith Colleges,False,True,56500,108500,0.46
Hofstra University,False,True,57300,110400,0.38
Howard University,False,True,55200,101300,0.56
Illinois Institute of Technology,True,True,64600,118500,0.47
Illinois Wesleyan University,False,True,53100,96000,0.44
Indiana University-Bloomington,False,False,53600,97100,0.47
Iona College,False,True,56200,106200,0.41
Iowa State University,False,False,56100,101300,0.48
Ithaca College,False,True,52900,98600,0.42
James Madison University,False,False,57400,102600,0.42
Jefferson College of Health Sciences,False,True,55500,97600,0.86
John Carroll University,False,True,51600,97300,0.39
John F. Kennedy University,False,True,53200,96500,
Johns Hopkins University,False,True,67200,117100,0.57
Kansas State University,False,False,52500,97200,0.51
Kenyon College,False,True,55000,103800,0.5
Kettering College,False,True,54300,95800,
